SMILES,p_np
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,0
CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1,0
CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,0
C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@@]12O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0
CC(C)OC(=O)[C@H](C)N[P@](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccccc1,0
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,0
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,0
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0
C1COC(NC(C2CC2)C2CC2)=N1,0
CCOC(=O)[C@H](CS)NCCN[C@@H](CS)C(=O)OCC,0
CNC(=S)NCO,0
NCCc1ccn[nH]1,0
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,0
Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,0
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,0
COc1ccc(C(C)=O)c(O)c1,0
CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1,0
C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,0
O=C(O)CNC(=O)CNC(=O)CNC(=O)CSC(=O)c1ccccc1,0
CCCCC(=O)O[C@]1(C(=O)CO)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,0
CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,0
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,0
CCOCCP(CCOCC)CCP(CCOCC)CCOCC,0
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2O,0
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,0
Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,0
O=C/C=C/c1ccccc1,0
